Strawberry Cappuccino,"Ingredients : cream, mascarpone, sugar, whipping cream, strawberry, lemon, vanilla sugar. Wash the strawberries and remove the stalks. In a mixer, mix with powdered sugar and the lemon juice. Set aside in the fridge. In a large mixing bowl,...",30 min,Easy,true
Strawberry pie,"Ingredients : sugar, flour, milk, egg, butter, salt, water, vanilla sugar. DOUGH: Blanch the yolks and sugar with a whisk and dilute the mixture with a little water. Mix flour and butter, cut into small pieces, with your fingers to get a sandy...",15 min,Very,false
Strawberry Meringues,"Ingredients : cream, sugar, vanilla, almond, strawberry, egg. Preheat your oven to 220°C (430°C). Beat the egg whites and the sugar gradually to get a meringue mixture. Cover a baking tray with baking paper and oil it lightly. Pour the...",20 min,Easy,false
